target_repo,name,owner,explored,incoming_count,incoming_seeds
https://github.com/scikit-build/ninja-python-distributions,ninja-python-distributions,https://github.com/scikit-build,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/sergey-dryabzhinsky/python-zstd,python-zstd,https://github.com/sergey-dryabzhinsky,true,1,https://github.com/Biohub/esm
https://github.com/simplejson/simplejson,simplejson,https://github.com/simplejson,true,1,https://github.com/google-deepmind/alphafold3
https://github.com/sphinx-doc/sphinx,sphinx,https://github.com/sphinx-doc,true,1,https://github.com/biopython/biopython
https://github.com/sponsors/hynek,,sponsors,false,1,https://github.com/Biohub/esm
https://github.com/sponsors/samuelcolvin,,sponsors,false,1,https://github.com/google-deepmind/alphafold3
https://github.com/swansonk14/p_tqdm,p_tqdm,https://github.com/swansonk14,true,1,https://github.com/jwohlwend/boltz
https://github.com/tensorflow/tensorflow,tensorflow,https://github.com/tensorflow,true,1,https://github.com/google-deepmind/alphafold
https://github.com/typeshed-internal/stub_uploader,,typeshed-internal,false,1,https://github.com/jwohlwend/boltz
https://github.com/wandb/wandb,wandb,https://github.com/wandb,true,1,https://github.com/jwohlwend/boltz
