seed_url,display_name,ror_uri,ror_name,contributor_count
https://github.com/biopython/biopython,Biopython,https://ror.org/057zh3y96,The University of Tokyo,1
https://github.com/biopython/biopython,Biopython,https://ror.org/04wn09761,Universidade Federal do Rio Grande do Norte,1
https://github.com/biopython/biopython,Biopython,https://ror.org/008x57b05,University of Antwerp,1
https://github.com/biopython/biopython,Biopython,https://ror.org/01an7q238,"University of California, Berkeley",1
https://github.com/biopython/biopython,Biopython,https://ror.org/04z8k9a98,University of Coimbra,1
https://github.com/biopython/biopython,Biopython,https://ror.org/02bjhwk41,University of Georgia,1
https://github.com/biopython/biopython,Biopython,https://ror.org/04xs57h96,University of Liverpool,1
https://github.com/biopython/biopython,Biopython,https://ror.org/0078xmk34,University of Montana,1
https://github.com/biopython/biopython,Biopython,https://ror.org/052gg0110,University of Oxford,1
https://github.com/biopython/biopython,Biopython,https://ror.org/05m5j6s60,University of Saint Joseph,1
https://github.com/biopython/biopython,Biopython,https://ror.org/00n3w3b69,University of Strathclyde,1
https://github.com/biopython/biopython,Biopython,https://ror.org/03a1kwz48,University of Tübingen,1
https://github.com/biopython/biopython,Biopython,https://ror.org/02rx3b187,Université Grenoble Alpes,1
https://github.com/oxpig/ImmuneBuilder,ImmuneBuilder,https://ror.org/00z4w4f29,Oxford Research Group,0
