seed_url,display_name,contributor_gh_url,contributor_handle,contributor_name,ror_uri,ror_name
https://github.com/RosettaCommons/rosetta,Rosetta,https://github.com/momeara,momeara,momeara,https://ror.org/024mw5h28,University of Chicago
https://github.com/RosettaCommons/rosetta,Rosetta,https://github.com/momeara,momeara,momeara,https://ror.org/03dbr7087,University of Toronto
https://github.com/RosettaCommons/rosetta,Rosetta,https://github.com/momeara,momeara,momeara,https://ror.org/043mz5j54,"University of California, San Francisco"
https://github.com/RosettaCommons/rosetta,Rosetta,https://github.com/willsheffler,willsheffler,willsheffler,https://ror.org/03ya6pd97,PDL BioPharma
https://github.com/RosettaCommons/PyRosetta.notebooks,PyRosetta,https://github.com/ajasja,ajasja,ajasja,https://ror.org/050mac570,National Institute of Chemistry
https://github.com/RosettaCommons/PyRosetta.notebooks,PyRosetta,https://github.com/rclune,rclune,rclune,https://ror.org/02ed4cj64,Creative Commons
https://github.com/RosettaCommons/PyRosetta.notebooks,PyRosetta,https://github.com/rclune,rclune,rclune,https://ror.org/02en65a92,Open Molecular Software Foundation
https://github.com/biopython/biopython,Biopython,https://github.com/etal,etal,etal,https://ror.org/02bjhwk41,University of Georgia
https://github.com/biopython/biopython,Biopython,https://github.com/peterjc,peterjc,peterjc,https://ror.org/00n3w3b69,University of Strathclyde
https://github.com/biopython/biopython,Biopython,https://github.com/peterjc,peterjc,peterjc,https://ror.org/03rzp5127,James Hutton Institute
https://github.com/biopython/biopython,Biopython,https://github.com/peterjc,peterjc,peterjc,https://ror.org/03wcc3744,Forest Research
https://github.com/biopython/biopython,Biopython,https://github.com/tiagoantao,tiagoantao,tiagoantao,https://ror.org/0078xmk34,University of Montana
https://github.com/biopython/biopython,Biopython,https://github.com/tiagoantao,tiagoantao,tiagoantao,https://ror.org/013meh722,University of Cambridge
https://github.com/biopython/biopython,Biopython,https://github.com/tiagoantao,tiagoantao,tiagoantao,https://ror.org/03svjbs84,Liverpool School of Tropical Medicine
https://github.com/biopython/biopython,Biopython,https://github.com/tiagoantao,tiagoantao,tiagoantao,https://ror.org/04xs57h96,University of Liverpool
https://github.com/biopython/biopython,Biopython,https://github.com/tiagoantao,tiagoantao,tiagoantao,https://ror.org/052gg0110,University of Oxford
https://github.com/biopython/biopython,Biopython,https://github.com/bow,bow,bow,https://ror.org/0138q7t80,Malaysia Genome Institute
https://github.com/biopython/biopython,Biopython,https://github.com/bow,bow,bow,https://ror.org/02hd2zk59,Atma Jaya Catholic University of Indonesia
https://github.com/biopython/biopython,Biopython,https://github.com/bow,bow,bow,https://ror.org/04pp8hn57,Utrecht University
https://github.com/biopython/biopython,Biopython,https://github.com/bow,bow,bow,https://ror.org/04qtj9h94,Technical University of Denmark
https://github.com/biopython/biopython,Biopython,https://github.com/bow,bow,bow,https://ror.org/05xvt9f17,Leiden University Medical Center
https://github.com/biopython/biopython,Biopython,https://github.com/BioGeek,BioGeek,BioGeek,https://ror.org/008x57b05,University of Antwerp
https://github.com/biopython/biopython,Biopython,https://github.com/BioGeek,BioGeek,BioGeek,https://ror.org/03g6j6055,BASF (Switzerland)
https://github.com/biopython/biopython,Biopython,https://github.com/BioGeek,BioGeek,BioGeek,https://ror.org/05gcat543,Barco (Belgium)
https://github.com/biopython/biopython,Biopython,https://github.com/mdehoon,mdehoon,mdehoon,https://ror.org/00hj8s172,Columbia University
https://github.com/biopython/biopython,Biopython,https://github.com/mdehoon,mdehoon,mdehoon,https://ror.org/01an7q238,"University of California, Berkeley"
https://github.com/biopython/biopython,Biopython,https://github.com/mdehoon,mdehoon,mdehoon,https://ror.org/02e2c7k09,Delft University of Technology
https://github.com/biopython/biopython,Biopython,https://github.com/mdehoon,mdehoon,mdehoon,https://ror.org/02jbv0t02,Lawrence Berkeley National Laboratory
https://github.com/biopython/biopython,Biopython,https://github.com/mdehoon,mdehoon,mdehoon,https://ror.org/057zh3y96,The University of Tokyo
https://github.com/biopython/biopython,Biopython,https://github.com/cbrueffer,cbrueffer,cbrueffer,https://ror.org/012a77v79,Lund University
https://github.com/biopython/biopython,Biopython,https://github.com/kblin,kblin,kblin,https://ror.org/03a1kwz48,University of Tübingen
https://github.com/biopython/biopython,Biopython,https://github.com/kblin,kblin,kblin,https://ror.org/04qtj9h94,Technical University of Denmark
https://github.com/biopython/biopython,Biopython,https://github.com/kblin,kblin,kblin,https://ror.org/04xx1tc24,Max Planck Institute for Biology of Ageing
https://github.com/biopython/biopython,Biopython,https://github.com/https://github.com/JoaoRodrigues,https://github.com/JoaoRodrigues,https://github.com/JoaoRodrigues,https://ror.org/00f54p054,Stanford University
https://github.com/biopython/biopython,Biopython,https://github.com/https://github.com/JoaoRodrigues,https://github.com/JoaoRodrigues,https://github.com/JoaoRodrigues,https://ror.org/03mtd9a03,Stanford Medicine
https://github.com/biopython/biopython,Biopython,https://github.com/https://github.com/JoaoRodrigues,https://github.com/JoaoRodrigues,https://github.com/JoaoRodrigues,https://ror.org/04pp8hn57,Utrecht University
https://github.com/biopython/biopython,Biopython,https://github.com/https://github.com/JoaoRodrigues,https://github.com/JoaoRodrigues,https://github.com/JoaoRodrigues,https://ror.org/04z8k9a98,University of Coimbra
https://github.com/biopython/biopython,Biopython,https://github.com/https://github.com/JoaoRodrigues,https://github.com/JoaoRodrigues,https://github.com/JoaoRodrigues,https://ror.org/05a3z6914,Schrodinger
https://github.com/biopython/biopython,Biopython,https://github.com/Amrithasuresh,Amrithasuresh,Amrithasuresh,https://ror.org/02y3ad647,Las Positas College
https://github.com/biopython/biopython,Biopython,https://github.com/Amrithasuresh,Amrithasuresh,Amrithasuresh,https://ror.org/03tzb2h73,Ajou University
https://github.com/biopython/biopython,Biopython,https://github.com/Amrithasuresh,Amrithasuresh,Amrithasuresh,https://ror.org/05byvp690,The University of Texas Southwestern Medical Center
https://github.com/biopython/biopython,Biopython,https://github.com/gouttegd,gouttegd,gouttegd,https://ror.org/013meh722,University of Cambridge
https://github.com/biopython/biopython,Biopython,https://github.com/gouttegd,gouttegd,gouttegd,https://ror.org/0266wrt04,Barts Cancer Institute
https://github.com/biopython/biopython,Biopython,https://github.com/gouttegd,gouttegd,gouttegd,https://ror.org/02rx3b187,Université Grenoble Alpes
https://github.com/biopython/biopython,Biopython,https://github.com/gouttegd,gouttegd,gouttegd,https://ror.org/048xwe611,Institut de Biochimie et Génétique Cellulaires
https://github.com/biopython/biopython,Biopython,https://github.com/gouttegd,gouttegd,gouttegd,https://ror.org/05kwbf598,Institut pour l'avancée des biosciences
https://github.com/biopython/biopython,Biopython,https://github.com/gouttegd,gouttegd,gouttegd,https://ror.org/05m5j6s60,University of Saint Joseph
https://github.com/biopython/biopython,Biopython,https://github.com/gouttegd,gouttegd,gouttegd,https://ror.org/05tpnw772,German BioImaging – Gesellschaft für Mikroskopie und Bildanalyse
https://github.com/biopython/biopython,Biopython,https://github.com/jvfe,jvfe,jvfe,https://ror.org/01e6qks80,Dalhousie University
https://github.com/biopython/biopython,Biopython,https://github.com/jvfe,jvfe,jvfe,https://ror.org/04wn09761,Universidade Federal do Rio Grande do Norte
